"ID";"Status im Branch";"Verantwortlich";"Zieltermin";"Externe Abnahme oder Restarbeit"
"A-01";"Code abgeschlossen";"Engineering + IT-Betrieb";"2026-07-15";"Vercel-Domainzuordnung und Apex-Redirect produktiv prüfen"
"A-02";"Code abgeschlossen";"Engineering";"2026-07-12";"Produktiven Deep-Link und Reload smoke-testen"
"A-03";"Code abgeschlossen";"Engineering + IT-Betrieb";"2026-07-15";"Server-Env setzen und drei echte Testleads prüfen"
"A-04";"Code und statische Tests abgeschlossen";"Engineering + Firebase-Admin";"2026-07-15";"Emulator mit Java und anschließendes Rules-Deployment"
"A-05";"Abgeschlossen";"Engineering";"2026-07-12";"Windows lokal und Linux-CI bleiben verpflichtend"
"A-06";"Fail-closed Claim-Gate umgesetzt";"Geschäftsleitung + Marketing";"2026-07-17";"Belege, Freigaben und Ablaufdaten im Register ergänzen"
"A-07";"Abgeschlossen";"Engineering";"2026-07-12";"Keine"
"A-08";"Code abgeschlossen";"Engineering + IT-Betrieb";"2026-07-15";"Produktive Ein-Hop-Redirectmatrix prüfen"
"A-09";"Code abgeschlossen";"Frontend Engineering";"2026-07-12";"JS-off-Browser-Smoke bleibt CI-Bestandteil"
"A-10";"Code abgeschlossen";"Frontend Engineering + Accessibility QA";"2026-07-16";"NVDA/VoiceOver-Grundtest"
"A-11";"Code abgeschlossen";"Frontend Engineering + Accessibility QA";"2026-07-16";"Manueller Desktop-Tastaturtest"
"A-12";"Code abgeschlossen";"Frontend Engineering + Accessibility QA";"2026-07-16";"Screenreader-Abnahme der Fehler- und Schrittansagen"
"A-13";"Abgeschlossen";"Engineering + Vertrieb";"2026-07-16";"Vertrieb prüft Qualifizierungsfelder"
"A-14";"Abgeschlossen";"Engineering + Datenschutz";"2026-07-17";"Datenschutztext rechtlich freigeben"
"A-15";"Code und TTL-Konfiguration abgeschlossen";"Firebase-Admin + Datenschutz";"2026-07-17";"TTL aktivieren, Fristen/gesetzliche Ausnahmen freigeben"
"A-16";"Abgeschlossen und getestet";"Engineering";"2026-07-12";"Manueller Excel-/LibreOffice-Import"
"A-17";"Code abgeschlossen";"Marketing Analytics + Datenschutz";"2026-07-17";"PII-freie Events in Vercel produktiv debuggen"
"A-18";"Fail-closed Standort-Gate umgesetzt";"Geschäftsleitung + Local SEO";"2026-07-17";"Niederlassungen, NAP, Öffnungszeiten, Geo und GBP belegen"
"A-19";"Abgeschlossen";"Engineering + SEO";"2026-07-12";"Produktiven Schema-Validator erneut ausführen"
"A-20";"CI-Budgets und lokale Baseline umgesetzt";"Engineering + Marketing Analytics";"2026-07-19";"CrUX/Search-Console-Feldwerte nach Release ergänzen"
"A-21";"Vercel als Primärhost dokumentiert";"IT-Betrieb";"2026-07-15";"Projektsettings und DNS außerhalb des Repos bestätigen"
"A-22";"Report-only-CSP und Headerparität umgesetzt";"Security + IT-Betrieb";"2026-07-26";"CSP-Reports beobachten und anschließend Enforcing-Freigabe"
"A-23";"Abgeschlossen";"Frontend Engineering + Accessibility QA";"2026-07-12";"Manueller Touch-/Screenreader-Smoke"
"A-24";"Code umgesetzt";"UX + Frontend Engineering";"2026-07-16";"Visuelle Abnahme auf realen 360/390-px-Geräten"
"A-25";"Metadaten-, Quellen- und Reviewer-Gate umgesetzt";"Fachredaktion";"2026-07-31";"Benannte Fachperson je Artikel prüfen und freigeben"
"A-26";"Technischer Freigabe-Gate vorhanden, Inhalte offen";"Customer Success + Marketing";"2026-08-31";"Mindestens drei Kundenfälle samt schriftlicher Freigabe erstellen"
"A-27";"Zentrales, ablaufbares Jobmodell umgesetzt";"HR";"2026-07-17";"Nur tatsächlich offene Jobs mit Daten und Verantwortlichem aktivieren"
"A-28";"CI-, Lint-, Test-, Build-, A11y- und Budget-Gates umgesetzt";"Engineering";"2026-07-12";"Branch Protection in GitHub aktivieren"
"A-29";"Neutraler Vier-Schritte-Wortlaut umgesetzt";"Vertrieb + Disposition";"2026-07-17";"Künftige Zeit-SLA erst nach operativer Messung freigeben"
"A-30";"Abgeschlossen";"Frontend Engineering";"2026-07-12";"Mobiler Back-/Tab-Test im Produktions-Smoke"
"A-31";"Code abgeschlossen";"Accessibility QA";"2026-07-16";"Kontrastmessung und Screenreader-Smoke"
"A-32";"Code abgeschlossen";"Accessibility QA";"2026-07-16";"NVDA/VoiceOver-Routenwechsel prüfen"
"A-33";"Getrenntes WhatsApp-Opt-in und Datenschutzhinweis umgesetzt";"Datenschutz + HR";"2026-07-17";"Rechts- und Übersetzungsfreigabe für alle elf Sprachen"
"A-34";"Immutable-Asset-Caching konfiguriert";"IT-Betrieb";"2026-07-15";"Produktive Header mit curl/Repeat View verifizieren"
