"ID";"Aufgabe";"Festgestelltes Problem";"Betroffene Seite oder Datei";"Empfohlene Lösung";"Priorität";"Aufwand";"Risiko";"Abhängigkeiten";"Akzeptanzkriterien";"Testmethode"
"A-01";"Kanonischen Host vereinheitlichen";"Der Server erzwingt www, während Canonicals, Sitemap, robots, OG, JSON-LD und llms.txt auf den redirectenden Apex-Host zeigen.";"Domainkonfiguration, src/components/SEO.tsx, src/lib/site.ts, scripts/prerender.mjs, public/robots.txt, public/llms.txt, Article- und Standort-Schemas";"www als einzige kanonische Basis festlegen oder Domainrouting bewusst auf Apex umstellen; alle Signale aus einer zentralen SITE.url generieren.";"kritisch";"M";"mittel";"Zugriff auf Vercel-Domainkonfiguration";"Jede indexierbare URL liefert 200; Canonical, OG, JSON-LD, Sitemap und interne Links sind bytegleich; alternative Hosts leiten in höchstens einem Hop weiter.";"Automatisierter HTTP-/Head-Crawl aller 36 indexierbaren URLs plus Schema-Validierung"
"A-02";"Bewerbungsfunnel direkt ausliefern";"/karriere/bewerbung ist aus mehreren CTAs verlinkt, liefert bei Direktaufruf aber HTTP 404.";"src/AppRoutes.tsx, scripts/prerender.mjs, src/pages/Karriere.tsx, Hostingregeln";"Route prerendern beziehungsweise serverseitig korrekt ausliefern und Indexierungsabsicht explizit setzen.";"kritisch";"S";"niedrig";"A-07";"Direkter GET, Reload und Deep Link liefern 200 mit passendem Titel, H1 und Canonical; alle Karriere-CTAs funktionieren.";"curl, Browser-Reload, mobile E2E-Bewerbungsreise"
"A-03";"Lead-Endpoint serverseitig konsolidieren";"E-Mail und Firestore werden getrennt vom Client angesteuert; Teilfehler, Dubletten und hosterabhängige falsche Erfolge sind möglich.";"src/components/ContactForm.tsx, src/pages/AngebotsFunnel.tsx, src/pages/KarriereFunnel.tsx, api/send-email.ts";"Einen schema-validierten Serverendpoint mit Idempotency-ID verwenden: zuerst persistieren, dann Benachrichtigung senden/queueen; UI prüft validiertes JSON.";"kritisch";"L";"hoch";"Produktionshost, Resend- und Firebase-Konfiguration";"Retry erzeugt genau einen Lead; Erfolg erscheint nur bei bestätigter Persistenz; Fehler sind nachvollziehbar und kein Lead geht verloren.";"API-Integrationstest, E2E mit simuliertem Mail-/Firestore-Ausfall, Logprüfung"
"A-04";"Firestore-Regeln härten";"Öffentliche Creates prüfen nur die Feldanzahl; Typen, erlaubte Felder, Längen, Enums, Status und Timestamp sind ungeschützt.";"firestore.rules, src/pages/Admin.tsx";"Exakte Schemas je Collection, allowed keys, Typ-/Längenlimits, request.time, status=new; App Check oder ausschließlich serverseitige Writes; reproduzierbares Rules-Deployment.";"kritisch";"M";"hoch";"A-03, Firebase-Projektzugriff";"Ungültige Keys/Typen/Längen und manipulierte createdAt/status werden abgewiesen; gültige Formulare funktionieren.";"Firebase-Emulator-Tests mit Positiv-/Negativfällen"
"A-05";"Windows-Prerender reparieren";"npm run build bricht unter Windows mit ERR_UNSUPPORTED_ESM_URL_SCHEME beim Import des C:\\-Pfads ab.";"scripts/prerender.mjs";"Absoluten Pfad mit pathToFileURL() in eine file:-URL umwandeln; Build auf Windows und Linux testen.";"kritisch";"XS";"niedrig";"keine";"npm run build endet auf Windows und Linux mit Exit 0 und 0 Prerender-Fallbacks.";"Lokaler Windows-Build plus CI-Matrix Node 22/24"
"A-06";"Öffentliche Leistungsversprechen verifizieren";"ISO 9001/14001, 80+ Mitarbeitende/Objekte, 15+ Jahre, drei Standorte, Bewertungen, Garantien und Logos sind stark, aber nicht im Repo mit Freigabe/Quelle/Prüfdatum belegt.";"src/lib/site.ts, Home, Karriere, Referenzen, Standortseiten, llms.txt";"Claim-Register mit Quelle, Eigentümer, Freigabe, Gültigkeit und Review-Datum; unbestätigte Claims bis zur Freigabe neutral formulieren.";"kritisch";"M";"hoch";"Unternehmensleitung, Zertifikate, Kundenfreigaben, Google-Profil";"Jeder öffentliche Claim hat einen aktuellen Beleg und verantwortliche Person; abgelaufene Claims werden zentral deaktiviert.";"Redaktionelle Freigabeprüfung und Sichtvergleich aller Ausgabestellen"
"A-07";"Ein Route-Manifest als Quelle der Wahrheit";"Router, Prerenderliste, öffentliche und generierte Sitemap sowie Indexierungslogik driften auseinander.";"src/AppRoutes.tsx, scripts/prerender.mjs, public/sitemap.xml, public/robots.txt";"Typisiertes Manifest erzeugt Routen, Prerender, Sitemap, Index/Noindex und Redirecttests; Prerender-Fallback macht den Build rot.";"hoher Nutzen";"M";"mittel";"A-01, A-02";"Alle gerouteten öffentlichen Seiten sind klassifiziert; Sitemap enthält nur kanonische indexierbare 200-URLs; keine Differenzen im CI.";"Manifest-Test und Post-Build-Crawl"
"A-08";"Slash- und Alias-Redirects normalisieren";"Alle aktuellen Nicht-Root-URLs sind mit und ohne Slash als 200 erreichbar; /reinigungskonzept und /kostenrechner liefern live 404; Hostvarianten erzeugen Ketten.";"vercel.json, Domainkonfiguration, AppRoutes.tsx";"Eine Slash-Policy serverseitig erzwingen; Client-Navigate-Aliasse als 301 auf /angebot; alternative Hosts direkt auf das endgültige Ziel führen.";"hoher Nutzen";"S";"mittel";"A-01, Redirect-Matrix";"Jede Alt-/Slash-/Hostvariante benötigt maximal einen Redirect; kein Loop und keine Kette.";"Automatisierter Redirect-Matrix-Test"
"A-09";"No-JavaScript-Sichtbarkeit sicherstellen";"SSR enthält auf der Startseite 60 opacity:0-Zustände; Reveal und SmartImage bleiben ohne Hydration unsichtbar.";"src/components/ui/Reveal.tsx, src/components/ui/SmartImage.tsx, Motion-Verwendung";"Sichtbarer SSR-Default; Animation nur nach bestätigter Client-Hydration als Progressive Enhancement; noscript nur als Fallback.";"hoher Nutzen";"M";"mittel";"Designreview";"Alle Inhalte und Bilder sind mit deaktiviertem JavaScript sichtbar; keine Cache-Load-Race; Animation bleibt mit JS erhalten.";"Browser mit JS aus, Cache-Reload, prefers-reduced-motion"
"A-10";"Mobile Navigation als zugänglichen Dialog umsetzen";"Overlay hat kein dialog/aria-modal, keinen Fokus-Trap, Escape-Handler, Fokus-Rückgabe oder inert-Hintergrund; zwei Schließen-Controls sind im Baum.";"src/components/Header.tsx";"Dialogsemantik, eindeutige Beschriftung, Fokusfang, Escape, Rückgabe zum Auslöser, Hintergrund inert; nur ein aktiver Close-Mechanismus pro Kontext.";"hoher Nutzen";"M";"mittel";"keine";"Tastaturfokus bleibt im offenen Menü; Escape schließt; Screenreader kündigt Dialogzustand korrekt an.";"Manueller Tastaturtest, NVDA/VoiceOver-Grundtest, axe"
"A-11";"Desktop-Menüs vollständig per Tastatur bedienen";"Mega-/Dropdown-Menüs öffnen nur über Maus-Hover; Fokus und Escape werden nicht verarbeitet.";"src/components/Header.tsx";"Öffnen über Fokus/Schaltfläche, aria-expanded/controls, robuste Blur-/Escape-Logik; Übersichtslink separat erhalten.";"hoher Nutzen";"S";"mittel";"A-10";"Alle Unterseiten sind ausschließlich per Tastatur erreichbar; Fokusreihenfolge und Schließen sind vorhersehbar.";"Tastaturtest bei Desktop-Breakpoint"
"A-12";"Funnel-Formulare WCAG-konform machen";"Karrierefelder besitzen sichtbare, aber nicht programmatisch verknüpfte Labels; Schrittstatus ist generisch, große Karten sind aria-live; Fehlerzuordnung fehlt teilweise.";"src/pages/KarriereFunnel.tsx, src/pages/AngebotsFunnel.tsx, src/components/ContactForm.tsx";"id/htmlFor, fieldset/legend, progressbar oder aria-current, gezielte Live-Regionen, aria-invalid/errormessage, sprachspezifische lang/dir-Werte.";"hoher Nutzen";"M";"mittel";"A-02";"Jedes Feld hat einen stabilen Accessible Name; Schritt/Fehler werden einmal sinnvoll angesagt; keine Mehrfachansagen.";"axe, Accessibility-Tree, NVDA/VoiceOver, Tastatur-E2E"
"A-13";"Angebotsfunnel kontextsensitiv qualifizieren";"Nur vier Leistungen/Objekttypen, keine dienstleistungsspezifischen Folgefragen und kein Seiten-/UTM-/Referrer-Kontext; alle Kontaktdaten sind Pflicht.";"src/pages/AngebotsFunnel.tsx";"Alle acht Leistungen abbilden; Progressive Disclosure je Leistung; Einstiegsleistung, Branche, Region, Landingpage und UTM ohne PII übernehmen; Pflichtfelder minimieren.";"hoher Nutzen";"L";"mittel";"Vertrieb/CRM-Anforderungen, A-03, A-20";"Lead enthält nur erforderliche, valide Qualifizierungsdaten und korrekten Ursprung; mobile Abschlusszeit bleibt kurz.";"E2E je Leistung, Analytics-Debug, Vertriebsabnahme"
